"text_group","keyword","n"
"Try Drugs","20",0
"Wear Makeup","20",2
"View Porn","20",0
"R-Rated Movie","20",1
"Have Sex","20",0
"Social Media","20",0
"Smartphone","20",0
"Try Alcohol","20",0
"Bedroom TV","20",0
"Unsupervised Parties","20",1
"Swear","20",0
"Bedroom Computer","22",0
"Start Dating","22",0
"Drink Regularly","22",2
"Try Drugs","22",1
"Wear Makeup","22",0
"View Porn","22",0
"R-Rated Movie","22",0
"Have Sex","22",1
"Social Media","22",0
"Smartphone","22",0
"Try Alcohol","22",0
"Bedroom TV","22",0
"Unsupervised Parties","22",0
"Swear","22",0
"Bedroom Computer","23",0
"Start Dating","23",0
"Drink Regularly","23",2
"Try Drugs","23",0
"Wear Makeup","23",0
"View Porn","23",0
"R-Rated Movie","23",0
"Have Sex","23",0
"Social Media","23",0
"Smartphone","23",0
"Try Alcohol","23",0
"Bedroom TV","23",0
"Unsupervised Parties","23",0
"Swear","23",0
"Bedroom Computer","24",0
"Start Dating","24",0
"Drink Regularly","24",2
"Try Drugs","24",0
"Wear Makeup","24",0
"View Porn","24",0
"R-Rated Movie","24",0
"Have Sex","24",0
"Social Media","24",0
"Smartphone","24",0
"Try Alcohol","24",0
"Bedroom TV","24",0
"Unsupervised Parties","24",0
"Swear","24",0
"Bedroom Computer","25",0
"Start Dating","25",1
"Drink Regularly","25",1
"Try Drugs","25",0
"Wear Makeup","25",0
"View Porn","25",0
"R-Rated Movie","25",0
"Have Sex","25",0
"Social Media","25",0
"Smartphone","25",0
"Try Alcohol","25",0
"Bedroom TV","25",0
"Unsupervised Parties","25",0
"Swear","25",0
"Bedroom Computer","26",0
"Start Dating","26",0
"Drink Regularly","26",0
"Try Drugs","26",0
"Wear Makeup","26",0
"View Porn","26",1
"R-Rated Movie","26",0
"Have Sex","26",0
"Social Media","26",0
"Smartphone","26",0
"Try Alcohol","26",0
"Bedroom TV","26",0
"Unsupervised Parties","26",0
"Swear","26",0
"Bedroom Computer","27",0
"Start Dating","27",0
"Drink Regularly","27",0
"Try Drugs","27",0
"Wear Makeup","27",0
"View Porn","27",0
"R-Rated Movie","27",0
"Have Sex","27",0
"Social Media","27",0
"Smartphone","27",0
"Try Alcohol","27",0
"Bedroom TV","27",0
"Unsupervised Parties","27",0
"Swear","27",0
"Bedroom Computer","28",0
"Start Dating","28",0
"Drink Regularly","28",0
"Try Drugs","28",0
"Wear Makeup","28",0
"View Porn","28",0
"R-Rated Movie","28",0
"Have Sex","28",0
"Social Media","28",0
"Smartphone","28",0
"Try Alcohol","28",0
"Bedroom TV","28",0
"Unsupervised Parties","28",0
"Swear","28",0
"Bedroom Computer","29",0
"Start Dating","29",0
"Drink Regularly","29",0
"Try Drugs","29",0
"Wear Makeup","29",0
"View Porn","29",0
"R-Rated Movie","29",0
"Have Sex","29",0
"Social Media","29",0
"Smartphone","29",0
"Try Alcohol","29",0
"Bedroom TV","29",0
"Unsupervised Parties","29",0
"Swear","29",0
"Bedroom Computer","30",0
"Start Dating","30",0
